Heads of DoD Components,GCPER
Heads of the DoD Components,GCPER
J1,GCPER-ABBRV
J2,GCPER-ABBRV
J3,GCPER-ABBRV
J4,GCPER-ABBRV
J5,GCPER-ABBRV
J8,GCPER-ABBRV
JCS,GCORG-ABBRV
JFSC,GCORG-ABBRV
JPEOCBRND,GCORG-ABBRV
JPRA,GCORG-ABBRV
Joint History Office,GCORG
MAJCOMS,GCORG-ABBRV
MARFORCOM,GCORG-ABBRV
MDA,GCORG-ABBRV
MEU,GCORG-ABBRV
MIB,GCORG-ABBRV
MPSA,GCORG-ABBRV
NAG,GCORG-ABBRV
NASA,GCORG-ABBRV
NCIS,GCORG-ABBRV
NDU,GCORG-ABBRV
NGA,GCORG-ABBRV
NGB,GCORG-ABBRV
NIU,GCORG-ABBRV
NRL,GCORG-ABBRV
NRO,GCORG-ABBRV
NSA,GCORG-ABBRV
OCMO,GCORG-ABBRV
ODASD(MR),GCPER-ABBRV
ODNI,GCORG-ABBRV
OEA,GCORG-ABBRV
OFT,GCPER-ABBRV
OJCS,GCORG-ABBRV
ONA,GCPER-ABBRV
ONI,GCORG-ABBRV
ONR,GCORG-ABBRV
PACAF,GCORG-ABBRV
PCTTF,GCORG-ABBRV
PDUSD(P&R),GCPER-ABBRV
PFPA,GCORG-ABBRV
SCOTUS,GCORG-ABBRV
SDA,GCORG-ABBRV
SMA,GCPER-ABBRV
SMC,GCORG-ABBRV
SMMC,GCPER-ABBRV
SSS,GCORG-ABBRV
SecDef,GCPER-ABBRV
Secretary of State,GCPER
Secretary of the Air Force,GCPER
Secretary of the Army,GCPER
Secretary of the Department of Veterans Affairs,GCPER
Secretary of the Navy,GCPER
UCC,GCORG-ABBRV
USACE,GCORG-ABBRV
USAF,GCORG-ABBRV
USAFE,GCORG-ABBRV
USAFMCOM,GCORG-ABBRV
USAFRICOM,GCORG-ABBRV
USAID,GCORG-ABBRV
USCENTCOM,GCORG-ABBRV
USCG,GCORG-ABBRV
USCYBERCOM,GCORG-ABBRV
USD(A&S),GCPER-ABBRV
USD(C/CFO),GCPER-ABBRV
USD(I),GCPER-ABBRV
USD(P&R),GCPER-ABBRV
USD(P),GCPER-ABBRV
USD(R&E),GCPER-ABBRV
USEUCOM,GCORG-ABBRV
USFF,GCORG-ABBRV
USINDOPACOM,GCORG-ABBRV
USMA,GCORG-ABBRV
USMC,GCORG-ABBRV
USMC CID,GCORG-ABBRV
USMEPCOM,GCORG-ABBRV
USNA,GCORG-ABBRV
USNORTHCOM,GCORG-ABBRV
USSF,GCORG-ABBRV
USSOCOM,GCORG-ABBRV
USSOUTHCOM,GCORG-ABBRV
USSTRATCOM,GCORG-ABBRV
USTRANSCOM,GCORG-ABBRV
USUHS,GCORG-ABBRV
United States Court of Appeals for the Armed Forces,GCORG
VA,GCORG-ABBRV
VBA,GCORG-ABBRV
VDNC,GCORG-ABBRV
VETS,GCORG-ABBRV
VHA,GCORG-ABBRV
VJCS,GCPER-ABBRV
"Vice Director, Joint Staff",GCPER
WHS,GCPER-ABBRV
WSMR,GCPER-ABBRV
